doc_name,page_num,sentence_num,sentence
What about dreams  State of the art and open questions,0,0,® Check for updates  Received: 1 March 2022 Revised: 28 March 2022 Accepted: 28 March 2022 DOI: 10.1111/jsr.13609        REVIEW ARTICLE  What about dreams?
What about dreams  State of the art and open questions,0,1,State of the art and open questions  Serena Scarpellit® | Valentina Alfonsit® | Maurizio Gorgoni?
What about dreams  State of the art and open questions,0,2,?® | Luigi De Gennaro*?
What about dreams  State of the art and open questions,0,3,"©  1Department of Psychology, Sapienza University of Rome, Rome, Italy Summary Body and Action Lab, IRCCS Fondazione Several studies have tried to identify the neurobiological bases of dream experiences,  Santa Lucia, Rome, Ital : 5 ¢ ane HSI SOME ANY, nevertheless some questions are still at the centre of the debate."
What about dreams  State of the art and open questions,0,4,"Here, we summarise  Correspondence the main open issues concerning the neuroscientific study of dreaming."
What about dreams  State of the art and open questions,0,5,"After overcom- Serena Scarpelli, Department of Psychology, Sapienza University of Rome, Via dei Marsi  78, 00185, Rome, Italy."
What about dreams  State of the art and open questions,0,6,"have focussed on the specific functional or structural brain features predicting dream Email: serena.scarpelli@uniroma1.it  ing the rapid eye movement (REM) - non-REM (NREM) sleep dichotomy, investigations  experience."
What about dreams  State of the art and open questions,0,7,"On the one hand, some results underlined that specific trait-like factors are associated with higher dream recall frequency."
What about dreams  State of the art and open questions,0,8,"On the other hand, the electrophysio- logical milieu preceding dream report upon awakening is a crucial state-like factor influencing the subsequent recall."
What about dreams  State of the art and open questions,0,9,"Furthermore, dreaming is strictly related to waking experiences."
What about dreams  State of the art and open questions,0,10,"Based on the continuity hypothesis, some findings reveal that dreaming could be modulated through visual, olfactory, or somatosensory stimulations."
What about dreams  State of the art and open questions,0,11,"Also, it should be considered that the indirect access to dreaming remains an intrinsic limita- tion."
What about dreams  State of the art and open questions,0,12,Recent findings have revealed a greater concordance between parasomnia-like events and dream contents.
What about dreams  State of the art and open questions,0,13,This means that parasomnia episodes might be an expres- sion of the ongoing mental sleep activity and could represent a viable direct access to dream experience.
What about dreams  State of the art and open questions,0,14,"Finally, we provide a picture on nightmares and emphasise the pos- sible role of oneiric activity in psychotherapy."
What about dreams  State of the art and open questions,0,15,"Overall, further efforts in dream science are needed (a) to develop a uniform protocol to study dream experience, (b) to intro- duce and integrate advanced techniques to better understand whether dreaming can be manipulated, (c) to clarify the relationship between parasomnia events and dream-  ing, and (d) to determine the clinical valence of dreams."
What about dreams  State of the art and open questions,0,16,"KEYWORDS  activation hypothesis, continuity hypothesis, dream enacting behaviour, dream recall, interindividual differences, nightmares     1 | INTRODUCTION The oneiric production is a form of mental sleep activity that appears  strictly related to memory processes and cognitive elaboration Dreams have been extensively studied from many points of view, (Wamsley & Stickgold, 2010; Mangiaruga et al., 2018)."
What about dreams  State of the art and open questions,0,17,"In this respect, focussing on different aspects of the phenomenon."
